iata,name,latitude,longitude
SYD,Sydney Kingsford Smith International Airport,-33.94609833,151.177002
MEL,Melbourne International Airport,-37.673302,144.843002
BNE,Brisbane International Airport,-27.38419914,153.1170044
PER,Perth International Airport,-31.94029999,115.9670029
CNS,Cairns International Airport,-16.88579941,145.7550049
ADL,Adelaide International Airport,-34.945,138.531006
DRW,Darwin International Airport,-12.41469955,130.8769989
OOL,Gold Coast Airport,-28.1644001,153.5050049
CBR,Canberra International Airport,-35.30690002,149.1950073
ASP,Alice Springs Airport,-23.80669975,133.9019928
HBA,Hobart International Airport,-42.83610153,147.5099945
LST,Launceston Airport,-41.54529953,147.2140045
BWU,Sydney Bankstown Airport,-33.92440033,150.9880066
AYQ,Ayers Rock Connellan Airport,-25.1861,130.975998
AVV,Avalon Airport,-38.039398,144.468994
TSV,Townsville Airport,-19.25250053,146.7649994
MCY,Sunshine Coast Airport,-26.6033,153.091003
MBW,Melbourne Moorabbin Airport,-37.97579956,145.102005
MQL,Mildura Airport,-34.22919846,142.0859985
ROK,Rockhampton Airport,-23.38190079,150.4750061
CDU,Camden Airport,-34.04029846,150.6869965
JAD,Perth Jandakot Airport,-32.09749985,115.8809967
HTI,Hamilton Island Airport,-20.35810089,148.9519959
MEB,Melbourne Essendon Airport,-37.7281,144.901993
TMW,Tamworth Airport,-31.08390045,150.8470001
BME,Broome International Airport,-17.94470024,122.2320023
,Adelaide Parafield Airport,-34.79330063,138.6329956
ACF,Brisbane Archerfield Airport,-27.57029915,153.0079956
NTL,Newcastle Airport,-32.79499817,151.8339996
KGC,Kingscote Airport,-35.71390152,137.5209961
BNK,Ballina Byron Gateway Airport,-28.83390045,153.5619965
CFS,Coffs Harbour Airport,-30.32060051,153.1159973
KGI,Kalgoorlie Boulder Airport,-30.7894001,121.461998
SWH,Swan Hill Airport,-35.37580109,143.5330048
CES,Cessnock Airport,-32.787498,151.341995
BXG,Bendigo Airport,-36.73939896,144.3300018
PUG,Port Augusta Airport,-32.50690079,137.7169952
BHQ,Broken Hill Airport,-32.00139999,141.4720001
WGA,Wagga Wagga City Airport,-35.16529846,147.4660034
ECH,Echuca Airport,-36.15719986,144.7619934
SHT,Shepparton Airport,-36.42890167,145.3930054
RTS,Rottnest Island Airport,-32.006699,115.540001
MTL,Maitland Airport,-32.701265,151.492912
BUY,Bunbury Airport,-33.37829971,115.677002
WOL,Wollongong Airport,-34.56110001,150.7890015
MGB,Mount Gambier Airport,-37.74560165,140.7850037
BHS,Bathurst Airport,-33.40940094,149.6519928
BWT,Wynyard Airport,-40.99890137,145.7310028
GET,Geraldton Airport,-28.796101,114.707001
MKY,Mackay Airport,-21.17169952,149.1799927
WGT,Wangaratta Airport,-36.41579819,146.3070068
TGN,Latrobe Valley Airport,-38.207199,146.470001
,Murray Field,-32.50830078,115.8420029
,Redcliffe Airport,-27.20669937,153.0679932
CPD,Coober Pedy Airport,-29.04000092,134.720993
ARM,Armidale Airport,-30.52809906,151.6170044
BDB,Bundaberg Airport,-24.90390015,152.3190002
DPO,Devonport Airport,-41.16970062,146.4299927
KTA,Karratha Airport,-20.71220016,116.7730026
KNX,Kununurra Airport,-15.77810001,128.7079926
LSY,Lismore Airport,-28.83029938,153.2599945
ISA,Mount Isa Airport,-20.66390038,139.4889984
PKE,Parkes Airport,-33.13140106,148.2389984
CWT,Cowra Airport,-33.84469986,148.6490021
DGE,Mudgee Airport,-32.5625,149.6109924
,Yarrawonga Airport,-36.02890015,146.029007
