origin,destination,count
ADELAIDE,ALICE SPRINGS,37975
ADELAIDE,BRISBANE,132220
ADELAIDE,CAIRNS,496
ADELAIDE,CANBERRA,49875
ADELAIDE,DARWIN,15713
ADELAIDE,GOLD COAST,30144
ADELAIDE,HOBART,710
ADELAIDE,MELBOURNE,530115
ADELAIDE,PERTH,150916
ADELAIDE,PORT LINCOLN,155923
ADELAIDE,SYDNEY,392650
ALBURY,SYDNEY,178181
ALICE SPRINGS,DARWIN,39328
ALICE SPRINGS,MELBOURNE,4976
ALICE SPRINGS,SYDNEY,27797
ARMIDALE,SYDNEY,27257
AYERS ROCK,SYDNEY,13276
BALLINA,SYDNEY,94303
BRISBANE,CAIRNS,284332
BRISBANE,CANBERRA,149430
BRISBANE,DARWIN,67095
BRISBANE,EMERALD,46655
BRISBANE,GLADSTONE,67406
BRISBANE,HAMILTON ISLAND,39418
BRISBANE,HOBART,18997
BRISBANE,LAUNCESTON,1516
BRISBANE,MACKAY,184092
BRISBANE,MELBOURNE,618872
BRISBANE,MORANBAH,19314
BRISBANE,MOUNT ISA,16289
BRISBANE,NEWCASTLE,114747
BRISBANE,PERTH,88634
BRISBANE,PROSERPINE,53355
BRISBANE,ROCKHAMPTON,241670
BRISBANE,SYDNEY,968802
BRISBANE,TOWNSVILLE,240106
BROOME,PERTH,85533
BUNDABERG,BRISBANE,25505
CAIRNS,GOLD COAST,456
CAIRNS,MELBOURNE,76018
CAIRNS,SYDNEY,166664
CAIRNS,TOWNSVILLE,123824
CANBERRA,GOLD COAST,1032
CANBERRA,MELBOURNE,354673
CANBERRA,SYDNEY,625496
COFFS HARBOUR,SYDNEY,164446
DARWIN,MELBOURNE,30684
DARWIN,PERTH,18862
DARWIN,SYDNEY,33983
DEVONPORT,MELBOURNE,93515
DUBBO,SYDNEY,203725
GERALDTON,PERTH,22192
GOLD COAST,SYDNEY,474835
HAMILTON ISLAND,MELBOURNE,3448
HAMILTON ISLAND,SYDNEY,19012
HERVEY BAY,SYDNEY,4413
HOBART,MELBOURNE,303995
HOBART,SYDNEY,87631
KALGOORLIE,PERTH,123432
KARRATHA,PERTH,152021
LAUNCESTON,MELBOURNE,278140
LAUNCESTON,SYDNEY,41177
MELBOURNE,BALLINA,1140
MELBOURNE,BURNIE,72848
MELBOURNE,GOLD COAST,258984
MELBOURNE,MILDURA,165148
MELBOURNE,NEWCASTLE,73806
MELBOURNE,PERTH,297233
MELBOURNE,SYDNEY,1472094
MELBOURNE,TOWNSVILLE,957
NEWCASTLE,GOLD COAST,3252
PERTH,NEWMAN,52430
PERTH,PORT HEDLAND,82271
PERTH,SYDNEY,232535
PORT MACQUARIE,SYDNEY,55406
PROSERPINE,SYDNEY,2051
SUNSHINE COAST,MELBOURNE,59173
SUNSHINE COAST,SYDNEY,94610
SYDNEY,TAMWORTH,20763
SYDNEY,TOWNSVILLE,29784
SYDNEY,WAGGA WAGGA,162063
